name,rawName,type_or_year,servers
"Lucky","مسلسل Lucky مترجم كامل","series",""
"Spooky in Love","مسلسل Spooky in Love مترجم كامل","series",""
"Dream to You","مسلسل Dream to You مترجم كامل","series",""
"The Apartment Job","مسلسل The Apartment Job مترجم كامل","series",""
"Little House on the Prairie الموسم الاول","مسلسل Little House on the Prairie الموسم الاول مترجم كامل","series",""
"Love in Sync","مسلسل Love in Sync مترجم كامل","series",""
"Mushoku Tensei","انمي Mushoku Tensei الموسم الثالث مترجم كامل","anime",""
"Human Vapor","مسلسل Human Vapor مترجم كامل","series",""
"الكلان","مسلسل الكلان كامل","series",""
"حين لا يرانا احد","مسلسل حين لا يرانا احد كامل","series",""
"تحت السن","مسلسل تحت السن كامل","series",""
"كارما","مسلسل كارما كامل","series",""
"اسطنبول راسا على عقب","مسلسل اسطنبول راسا على عقب مترجم كامل","series",""
"للعدالة وجه اخر","مسلسل للعدالة وجه اخر كامل","series",""
"حب ع ورق","مسلسل حب ع ورق كامل","series",""
"Doctor on the Edge","مسلسل Doctor on the Edge مترجم كامل","series",""
"Reborn Rookie","مسلسل Reborn Rookie مترجم كامل","series",""
"فرسان قريح 2","مسلسل فرسان قريح 2 كامل","series",""
"سستر فخرية","مسلسل سستر فخرية كامل","series",""
"ورد على فل وياسمين","مسلسل ورد على فل وياسمين كامل","series",""
"Spider Noir الموسم الاول","مسلسل Spider Noir الموسم الاول مترجم كامل","series",""
"Berlin and the Lady with an Ermine الموسم الاول","مسلسل Berlin and the Lady with an Ermine الموسم الاول مترجم كامل","series",""
"حفرة جهنم","مسلسل حفرة جهنم كامل","series",""
"ميركاتو","مسلسل ميركاتو كامل","series",""
"الشجاع","مسلسل الشجاع مترجم كامل","series",""
"One Piece والعشرون","انمي One Piece الموسم الثاني والعشرون مترجم","anime",""
"ابن الشركة","مسلسل ابن الشركة كامل","series",""
"قلب مفتوح","مسلسل قلب مفتوح كامل","series",""
"سكرة الحب","مسلسل سكرة الحب كامل","series",""
"دافنينه سوا","مسلسل دافنينه سوا كامل","series",""
"استجواب الرئيس","مسلسل استجواب الرئيس كامل","series",""
"الفرنساوي","مسلسل الفرنساوي كامل","series",""
"ممكن","مسلسل ممكن كامل","series",""
"الخلاط+","مسلسل الخلاط+ كامل","series",""
